,real_river,Q,TOTN,DIN,year
72,11,259.240237625885,89.9325552042318,43.74398598153798,2015
73,11,152.63626112937928,51.74077085979064,24.278111990243733,2016
74,11,176.21184726905824,63.55563616713152,28.69786151234329,2017
75,11,151.84632485961913,64.43637324650855,32.988801877655504,2018
76,11,229.1738697681427,84.33990918917445,40.25092505150986,2019
77,11,324.70371063308716,106.29154744111493,52.2932334966674,2020
78,11,200.93435720329285,65.85282996614309,32.90172976976638,2021
79,11,124.2480276260376,45.237370818656025,21.299990017439015,2022
80,12,109.62253972148895,58.08486421889836,18.822573377589215,2013
81,12,171.6539270931244,69.84523463251494,25.37353262447345,2014
82,12,165.62871066055297,66.65272517363556,23.20887295162385,2015
83,12,126.0341001411438,57.65516231202616,19.038807124123267,2016
84,12,143.59643445911408,67.26838103930424,22.26799666546893,2017
85,12,122.32053131217957,95.32377404762862,36.38500623274456,2018
86,12,199.23522295475007,92.50571865043604,30.295025004034486,2019
87,12,241.82013991127013,104.17078424761381,38.62925188645856,2020
88,12,154.3747113882065,69.8352340143431,23.833401782264296,2021
89,12,109.00767416610718,52.939760461751334,19.171086270217874,2022
90,13,115.48439458236695,75.90096991735953,37.45569781590063,2013
91,13,180.7292652923584,130.73337627749947,66.6830555001851,2014
92,13,168.60584182090759,75.7887662266901,37.165640406653516,2015
93,13,147.35597070980072,117.03867525813486,60.62501057779441,2016
94,13,167.88942017440795,125.1224396774464,73.17910509536546,2017
95,13,143.01415781536102,129.11580579431447,77.9618040592747,2018
96,13,225.34633366355897,178.4735719995432,112.0024762112609,2019
97,13,256.5494276927948,150.61522224272184,108.46231281646105,2020
98,13,159.23157898693086,122.75977108741277,115.19643550207331,2021
99,13,127.44909306707382,125.81826297256575,85.38601034895147,2022
100,14,81.90082277126312,95.799042184474,54.3559442460036,2013
101,14,115.87624607963562,153.23551413006473,107.0708905542924,2014
102,14,109.1499622833252,128.20720122774026,75.89147475849018,2015
103,14,335.6065243618011,344.86631011999873,205.02074080228303,2016
104,14,452.6812440135956,679.8381505174528,428.35963237204544,2017
105,14,305.8182820163727,374.6621494769475,236.3283653307433,2018
106,14,573.2972400730133,1003.8073886216845,619.6486572342428,2019
107,14,512.6038006874085,700.9458813868829,440.23494570408474,2020
108,14,356.56045627326966,464.2482847190432,319.9301523168902,2021
109,14,231.14186331138612,404.3714251363905,333.873912020194,2022
110,15,45.256382630825044,34.1718486907563,33.52958991051003,2013
111,15,80.72960378923416,75.57503777881792,74.50247751310802,2014
112,15,87.33578772182464,68.60751044948557,67.37252028432998,2015
113,15,68.62675570600032,53.11927143660827,52.06829045474667,2016
114,15,91.96934644947052,71.07404668635398,69.21133250810253,2017
115,15,64.90283059537467,53.054578999708966,37.59119036292605,2018
116,15,120.97081093781031,82.53367958852922,68.2578365536987,2019
117,15,114.29241183867082,92.2099054146292,55.44244354041791,2020
118,15,74.5611834476307,72.946436132731,50.83277790980226,2021
119,15,48.541116935951514,57.11450057569603,47.27040267165886,2022
120,17,151.98832744903564,171.17593584771748,58.12793942323281,2013
121,17,255.04527981033326,250.40395923721957,134.26107141699495,2014
122,17,237.26475872039794,201.6728173507338,106.01482407278993,2015
123,17,207.25435483703615,177.04548414199215,95.18335829862845,2016
124,17,234.26087814102172,190.83560592626978,113.88437011182614,2017
125,17,201.50015772285462,322.3662065647854,239.88430606163996,2018
126,17,309.9316342517853,460.23031373374965,293.3570762904465,2019
127,17,351.0621367904663,380.43263661342786,263.6118190192,2020
128,17,222.85850150184632,222.44284267460284,122.47867235497864,2021
129,17,181.00096764450072,198.66924072453187,114.87968822373146,2022
130,18,10005.674204992676,4421.11480821532,2736.189383106778,2013
131,18,10789.12901755371,3513.9048625945925,1978.1160874002562,2014
132,18,10051.206472705078,3313.443852995334,1527.834193832429,2015
133,18,10341.380602441406,3501.523583925956,2161.6862979988523,2016
134,18,12046.636526220704,4445.470943510176,2497.0397848790917,2017
135,18,11165.745345996094,4198.362831379426,2778.9133156613807,2018
136,18,12273.74585288086,5033.126137219581,3409.5667578229186,2019
137,18,14184.665508251954,5484.19109185427,4013.0722630513405,2020
138,18,11776.962163623048,4731.416167827456,3314.065757539337,2021
139,18,7885.064434460449,3225.849751420525,2271.9008132688646,2022
140,19,201.65689680976868,122.94138039788523,52.980531898573666,2013
141,19,269.8021688873291,116.11162240789015,50.03384161487961,2014
142,19,235.47745992507936,114.66642461749707,61.85542067405417,2015
143,19,190.85096015510558,111.13785455897536,65.5374279110502,2016
144,19,212.96139119796752,149.51687489123907,116.44677197531091,2017
145,19,186.07123207054138,157.86560889908156,102.23237460675767,2018
146,19,275.0723165863037,188.7766665503075,128.69343197709125,2019
147,19,308.88908705978395,230.52577667110396,163.07098357622593,2020
148,19,203.60226565818786,114.02614927688353,66.56556499441079,2021
149,19,169.2453970802307,65.84060016853256,24.055762097980892,2022
150,20,288.19642285079954,986.9326144078383,579.3956226739353,2013
151,20,436.9915114151001,1066.8833251465676,723.8246519487337,2014
152,20,366.5510184402466,619.0168815467822,346.88599833001786,2015
153,20,473.0368082107544,780.0583821436499,538.4266434012502,2016
154,20,629.066594998169,2116.824779632834,1908.9001549494094,2017
155,20,433.24931013793946,1708.5049862830692,1468.622754588902,2018
156,20,789.8879073120117,1851.3922924907374,1691.8996450323082,2019
157,20,709.0331706573486,1525.5079044922777,1331.9954834120279,2020
158,20,500.9055361358643,1301.417195185057,1084.3810681434352,2021
159,20,333.6807488983154,1255.447491275939,1044.895232120651,2022
160,21,4209.80332901001,1659.3623730667478,765.5145178816308,2013
161,21,4965.934185241699,1885.1938354747049,1007.5589784684785,2014
162,21,4355.746053112793,1511.9833263159758,653.1198435604452,2015
163,21,3880.9499410766603,1256.442100731762,682.1347684383011,2016
164,21,4141.629563818359,1593.4982524563882,915.1358980540393,2017
165,21,3848.0538783691404,1807.1480800362347,1081.2847914926383,2018
166,21,4076.8800286376954,1870.2137595059035,1160.6095571020242,2019
167,21,5421.770607568359,2101.308545020284,1056.3284665824613,2020
168,21,4218.916074719238,1931.307102142496,1031.1949983171096,2021
169,21,2795.2641135131835,1043.3458714302067,640.2714538911877,2022
170,22,8582.603699926758,1835.5313650820913,786.1509063568012,2013
171,22,10627.099365673828,2295.9282252260846,1024.458810984432,2014
172,22,9913.237133862305,2008.561257810814,706.5965644425193,2015
173,22,8917.542508007813,2009.2945117822119,904.1386467997852,2016
174,22,9394.55877216797,2166.6251091789195,1116.9796612091204,2017
175,22,9252.765257739258,2176.1201781166296,1110.5301315066579,2018
176,22,8389.865303393555,1925.348844838359,951.0464891603082,2019
177,22,12275.677381201172,2860.926248401168,1469.7597687841253,2020
178,22,9040.571095605468,2321.9047287842895,1093.379359907576,2021
179,22,7067.072583435059,1944.422258700296,1093.8369946036044,2022
180,23,1131.0326819137574,437.21535956989817,153.59131428619102,2013
181,23,1741.0232693847656,614.2986970394994,263.8141729169461,2014
182,23,1344.5399783111573,453.7030526371779,134.36316625013234,2015
183,23,1144.2450248794555,391.10668176490975,122.4496144942332,2016
184,23,1759.3354582992554,582.1852729963729,162.96701472250652,2017
185,23,1303.1014038711548,465.3427441330753,174.8458901772195,2018
186,23,1967.4771122440338,674.6676137408724,244.01534178086555,2019
187,23,2007.4021476745606,691.464221606856,256.5953929440086,2020
188,23,1278.8789641479493,440.32230910799274,166.603133757721,2021
189,23,1199.1671142654418,418.09714796595944,159.18379133211175,2022
